,variable,value,abs_value,r-squared
Treatment_time_270_both_only_ivt_under_270mins,Treatment_time_270_both_None,-0.8739,0.8739,0.7637
age,prior_disability,0.3942,0.3942,0.1554
stroke_severity_arrival,Treatment_time_270_both_None,-0.3067,0.3067,0.0941
any_afib_diagnosis,age,0.2758,0.2758,0.076
precise_onset_known,Treatment_time_270_both_None,-0.2579,0.2579,0.0665
Treatment_time_270_both_only_ivt_under_270mins,precise_onset_known,0.249,0.249,0.062
prior_disability,stroke_severity_arrival,0.2269,0.2269,0.0515
stroke_severity_arrival,Treatment_time_270_both_only_ivt_under_270mins,0.208,0.208,0.0433
Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,Treatment_time_270_both_None,-0.1778,0.1778,0.0316
Treatment_time_270_both_ivt_mt_under_270mins,Treatment_time_270_both_None,-0.1747,0.1747,0.0305
Treatment_time_270_both_None,prior_disability,0.1622,0.1622,0.0263
age,stroke_severity_arrival,0.1578,0.1578,0.0249
prior_disability,any_afib_diagnosis,0.1579,0.1579,0.0249
Treatment_time_270_both_None,Treatment_time_270_both_only_mt_over_270mins,-0.1529,0.1529,0.0234
Treatment_time_270_both_only_ivt_over_270mins,Treatment_time_270_both_None,-0.1499,0.1499,0.0225
stroke_severity_arrival,any_afib_diagnosis,0.1484,0.1484,0.022
stroke_severity_arrival,Treatment_time_270_both_ivt_mt_under_270mins,0.1411,0.1411,0.0199
stroke_severity_arrival,Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,0.129,0.129,0.0166
prior_disability,Treatment_time_270_both_only_ivt_under_270mins,-0.1201,0.1201,0.0144
Treatment_time_270_both_None,Treatment_time_270_both_only_mt_under_270mins,-0.1146,0.1146,0.0131
age,Treatment_time_270_both_None,0.11,0.11,0.0121
precise_onset_known,prior_disability,-0.1015,0.1015,0.0103
Treatment_time_270_both_only_mt_under_270mins,stroke_severity_arrival,0.0963,0.0963,0.0093
stroke_severity_arrival,Treatment_time_270_both_only_mt_over_270mins,0.0954,0.0954,0.0091
any_afib_diagnosis,Treatment_time_270_both_only_ivt_under_270mins,-0.09,0.09,0.0081
