,variable,value,abs_value,r-squared
onset_time_type_NK,onset_in_hospital_or_arrival_within_6hrs_onset_unknown,1.0,1.0,1.0
stroke_type_I,stroke_type_PIH,-0.9817,0.9817,0.9638
covid_status_Vaccination only,covid_status_None,-0.9512,0.9512,0.9048
Treatment_time_270_both_only_ivt_under_270mins,Treatment_time_270_both_None,-0.8764,0.8764,0.768
eth5_Asian or Asian British,eth5_White,-0.6957,0.6957,0.484
onset_in_hospital_or_arrival_within_6hrs_within_6hrs,onset_time_type_NK,-0.5614,0.5614,0.3152
onset_in_hospital_or_arrival_within_6hrs_onset_unknown,onset_in_hospital_or_arrival_within_6hrs_within_6hrs,-0.5614,0.5614,0.3152
onset_time_type_P,onset_time_type_BE,-0.5257,0.5257,0.2763
onset_time_type_BE,onset_time_type_NK,-0.5127,0.5127,0.2629
onset_time_type_BE,onset_in_hospital_or_arrival_within_6hrs_onset_unknown,-0.5127,0.5127,0.2629
eth5_White,"eth5_Black, Black British, Caribbean or African",-0.504,0.504,0.254
onset_in_hospital_or_arrival_within_6hrs_onset_unknown,onset_time_type_P,-0.4608,0.4608,0.2124
onset_time_type_NK,onset_time_type_P,-0.4608,0.4608,0.2124
onset_time_type_P,onset_in_hospital_or_arrival_within_6hrs_within_6hrs,0.4561,0.4561,0.2081
onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,onset_in_hospital_or_arrival_within_6hrs_within_6hrs,-0.4538,0.4538,0.2059
onset_in_hospital_or_arrival_within_6hrs_within_6hrs,Treatment_time_270_both_None,-0.3736,0.3736,0.1396
onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,onset_time_type_BE,0.3703,0.3703,0.1371
prior_disability,age,0.3641,0.3641,0.1326
onset_in_hospital_or_arrival_within_6hrs_onset_unknown,onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,-0.3634,0.3634,0.132
onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,onset_time_type_NK,-0.3634,0.3634,0.132
onset_in_hospital_or_arrival_within_6hrs_within_6hrs,Treatment_time_270_both_only_ivt_under_270mins,0.3533,0.3533,0.1249
onset_time_type_P,Treatment_time_270_both_None,-0.3287,0.3287,0.1081
onset_time_type_P,Treatment_time_270_both_only_ivt_under_270mins,0.3212,0.3212,0.1032
eth5_White,eth5_Other ethnic group,-0.2917,0.2917,0.0851
any_afib_diagnosis,age,0.2795,0.2795,0.0781
eth5_White,eth5_Mixed or multiple ethnic groups,-0.2484,0.2484,0.0617
prior_disability,stroke_severity_arrival,0.2265,0.2265,0.0513
onset_in_hospital_or_arrival_within_6hrs_onset_unknown,Treatment_time_270_both_None,0.2266,0.2266,0.0513
Treatment_time_270_both_None,onset_time_type_NK,0.2266,0.2266,0.0513
Treatment_time_270_both_None,Treatment_time_270_both_only_mt_over_270mins,-0.2239,0.2239,0.0501
onset_time_type_NK,Treatment_time_270_both_only_ivt_under_270mins,-0.2163,0.2163,0.0468
Treatment_time_270_both_only_ivt_under_270mins,onset_in_hospital_or_arrival_within_6hrs_onset_unknown,-0.2163,0.2163,0.0468
Treatment_time_270_both_None,stroke_severity_arrival,-0.2109,0.2109,0.0445
Treatment_time_270_both_only_ivt_over_270mins,Treatment_time_270_both_None,-0.2007,0.2007,0.0403
