,feature name,feature value,min,1q,median,3q,max,mean,sd,n (nearest 5),kfold
0,stroke_severity_arrival,0.0,-38.789700134226585,34.62008137888508,39.17191726683872,43.096472280037126,83.24930339393438,37.68688030078471,8.630057455497237,1830,0
1,stroke_severity_arrival,1.0,6.781090587379876,44.441180354615206,48.47456233135657,52.05711785883876,86.87098360206234,48.010962567863054,6.603068383966887,2250,0
2,stroke_severity_arrival,2.0,-2.9329350784234705,40.83844348593848,44.776586546369366,48.185734789681156,82.73999749714741,44.1130905425868,6.5490381380556295,2970,0
3,stroke_severity_arrival,3.0,-7.770284304197412,32.30325319764437,36.00963173500495,39.4128546841559,80.66595388575689,35.60726411869789,6.489450416793173,2670,0
4,stroke_severity_arrival,4.0,6.409005462026689,30.277452852271963,33.981693384342364,36.190512431107926,67.98562454583356,33.274779739641396,5.643915042589106,2190,0
5,stroke_severity_arrival,5.0,5.586450625353027,26.388644023996314,29.368714370664676,31.539702724158996,57.53516983555863,29.370573632174725,4.712824661676013,1865,0
6,stroke_severity_arrival,6.0,5.666760665385518,23.04520630261162,25.931875018349384,28.308193370366936,61.041558171699286,25.847115847656607,4.873337724071952,1675,0
7,stroke_severity_arrival,7.0,-15.888630726241972,10.828278202547226,14.651104338932782,17.404696516136173,66.23975545976543,14.41579600260584,6.713515311871061,1240,0
8,stroke_severity_arrival,8.0,-12.114962956958916,2.635543350179214,6.495743047988508,9.545599714164855,51.85493045088137,6.291204421930443,5.749548942298769,1025,0
9,stroke_severity_arrival,9.0,-44.6189883024781,-1.3696112611680291,2.070897533094976,5.195878028927837,39.45983710021712,2.0059198873005717,6.4955840541515295,875,0
10,stroke_severity_arrival,10.0,-83.18447105761385,-8.275928650887217,-5.195407384790014,-1.937530315348413,22.689187167698982,-5.550076595539123,7.4356695397872095,780,0
11,stroke_severity_arrival,11.0,-56.50924495452782,-14.974640929640735,-9.317677626796067,-5.285214058642741,28.888208971566055,-10.334937029393162,9.040720419034724,695,0
12,stroke_severity_arrival,12.0,-63.95240070421249,-28.872910330863668,-21.921016290336848,-14.186905046943576,21.73181319622323,-21.515172876111052,12.447931850478113,620,0
13,stroke_severity_arrival,13.0,-78.74712728890357,-43.19596821516985,-33.37757125490112,-25.093788740120363,31.418555832651908,-32.9813111674206,15.06754315633014,555,0
14,stroke_severity_arrival,14.0,-119.90844331817934,-60.97832021101611,-53.65896150266985,-42.77606620307779,-4.154517044648528,-51.38922486980752,13.708141573202743,570,0
15,stroke_severity_arrival,15.0,-101.22509210542077,-59.72170330450288,-52.15588071055012,-41.62683745576301,2.164294540581759,-50.64225464129556,14.197866854083971,500,0
16,stroke_severity_arrival,16.0,-100.1907558448636,-72.04608071548748,-61.20614886896918,-51.438272675506305,-13.197448824159801,-60.8364809694549,15.00366019043566,515,0
17,stroke_severity_arrival,17.0,-105.99113343983889,-77.40655169771286,-66.21075398921036,-54.36216869228985,9.574922583233565,-64.38556218685885,16.994082108789584,520,0
18,stroke_severity_arrival,18.0,-144.43677597320638,-93.17382208201103,-85.57235948854127,-75.47858418081887,-8.547946622874587,-82.4750988586871,17.690067691908485,505,0
19,stroke_severity_arrival,19.0,-135.06568489022553,-103.04809100849553,-92.59585987835658,-80.41543236017228,3.8688572788052262,-90.14353531363942,19.35445716729368,500,0
20,stroke_severity_arrival,20.0,-144.12144294368102,-113.91053338046186,-101.38989308478311,-89.70155080311001,-25.778710588030517,-100.3257040836467,18.76783448548576,395,0
21,stroke_severity_arrival,21.0,-177.22594355933367,-124.66557423555292,-111.98383397494908,-99.05276394452201,-35.06489718221128,-109.64355835454187,20.104135200274303,400,0
22,stroke_severity_arrival,22.0,-160.59923275593667,-130.540269330116,-119.80842282263562,-106.82872710863128,-43.54121397070587,-115.88941291237954,19.947007969036807,360,0
23,stroke_severity_arrival,23.0,-169.45865723723546,-136.64447365402245,-125.81853536573239,-111.0131988019077,-53.855507232807575,-122.17405920014181,19.970494964743292,350,0
24,stroke_severity_arrival,24.0,-168.26943634612485,-144.40931134498214,-131.86915909165518,-114.80301130685024,-50.65866116221994,-128.1336002303136,21.868459001931296,285,0
25,stroke_severity_arrival,25.0,-181.68223609417677,-152.818195978757,-139.21464881673455,-119.37538738667965,-44.421751800514755,-133.29594120230178,27.336837699062105,250,0
26,stroke_severity_arrival,26.0,-183.50676957620308,-155.98688743286766,-139.80802786460146,-122.62500716177746,-61.0480741347,-137.35483882944956,24.560731873635543,235,0
27,stroke_severity_arrival,27.0,-188.56624425312503,-168.13750568273477,-159.57555270574522,-145.72402268867938,-58.7689909872599,-154.82752429374693,20.918949743005594,165,0
