population,target feature,k,train rows,train columns,train NIHSS0_10,train NIHSS11_42,test rows,test columns,test NIHSS0_10,test NIHSS11_42
exploratory_population,post_365d_days_in_care,0,310677,80,235294,75308,77670,80,58847,18802
exploratory_population,post_365d_days_in_care,1,310677,80,235416,75179,77670,80,58725,18931
exploratory_population,post_365d_days_in_care,2,310678,80,235320,75280,77669,80,58821,18830
exploratory_population,post_365d_days_in_care,3,310678,80,235332,75273,77669,80,58809,18837
exploratory_population,post_365d_days_in_care,4,310678,80,235202,75400,77669,80,58939,18710
exploratory_population,post_365d_days_at_home,0,310677,80,235401,75203,77670,80,58740,18907
exploratory_population,post_365d_days_at_home,1,310677,80,235247,75345,77670,80,58894,18765
exploratory_population,post_365d_days_at_home,2,310678,80,235445,75155,77669,80,58696,18955
exploratory_population,post_365d_days_at_home,3,310678,80,235137,75465,77669,80,59004,18645
exploratory_population,post_365d_days_at_home,4,310678,80,235334,75272,77669,80,58807,18838
exploratory_population,post_365d_days_dead,0,310677,80,235316,75288,77670,80,58825,18822
exploratory_population,post_365d_days_dead,1,310677,80,235359,75241,77670,80,58782,18869
exploratory_population,post_365d_days_dead,2,310678,80,235346,75253,77669,80,58795,18857
exploratory_population,post_365d_days_dead,3,310678,80,235197,75405,77669,80,58944,18705
exploratory_population,post_365d_days_dead,4,310678,80,235346,75253,77669,80,58795,18857
causal_population,post_365d_days_in_care,0,109117,80,77851,31255,27280,80,19417,7861
causal_population,post_365d_days_in_care,1,109117,80,77861,31247,27280,80,19407,7869
causal_population,post_365d_days_in_care,2,109118,80,77813,31295,27279,80,19455,7821
causal_population,post_365d_days_in_care,3,109118,80,77779,31329,27279,80,19489,7787
causal_population,post_365d_days_in_care,4,109118,80,77768,31338,27279,80,19500,7778
causal_population,post_365d_days_at_home,0,109117,80,77901,31206,27280,80,19367,7910
causal_population,post_365d_days_at_home,1,109117,80,77726,31379,27280,80,19542,7737
causal_population,post_365d_days_at_home,2,109118,80,77777,31330,27279,80,19491,7786
causal_population,post_365d_days_at_home,3,109118,80,77901,31208,27279,80,19367,7908
causal_population,post_365d_days_at_home,4,109118,80,77767,31341,27279,80,19501,7775
causal_population,post_365d_days_dead,0,109117,80,77864,31242,27280,80,19404,7874
causal_population,post_365d_days_dead,1,109117,80,77809,31297,27280,80,19459,7819
causal_population,post_365d_days_dead,2,109118,80,77846,31262,27279,80,19422,7854
causal_population,post_365d_days_dead,3,109118,80,77722,31386,27279,80,19546,7730
causal_population,post_365d_days_dead,4,109118,80,77831,31277,27279,80,19437,7839
