,,Stroke population,,,,,,,,,,Control population,,,,,,,,,,Stroke vs control. Additional days,,,,,,,,
Population cohort,,Count,At home,,,In care,,,Dead,,,Count,At home,,,In care,,,Dead,,,At home,,,In care,,,Dead,,
Feature name,Feature value,(nearest 5),mean,std,median,mean,std,median,mean,std,median,(nearest 5),mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median
population,all,236630,266.4,138.6,346.5,23.2,32.7,10.0,75.5,135.7,0.0,236630,352.8,50.8,365.0,2.4,10.2,0.0,9.8,48.0,0.0,+AC0-86.4,143.5,+AC0-15.5,20.8,34.1,8.5,65.7,140.5,0
Age (years),under 60,109170,286.7,124.9,352.0,22.6,33.4,8.5,55.6,121.1,0.0,109170,359.3,33.8,365.0,1.6,8.6,0.0,4.1,31.3,0.0,+AC0-72.6,128.9,+AC0-11.5,21.1,34.5,8.0,51.5,124.7,0
,60+AC0-80,85950,212.2,155.8,305.0,25.7,29.1,15.0,127.2,156.5,0.0,85950,339.2,72.5,365.0,4.5,13.1,0.0,21.3,69.3,0.0,+AC0-127.1,169.8,+AC0-48.0,21.2,31.9,12.5,105.9,169.2,0
,over 80,41510,325.1,86.5,359.0,19.5,37.0,5.5,20.4,78.4,0.0,41510,363.8,14.5,365.0,0.5,5.3,0.0,0.7,12.9,0.0,+AC0-38.7,87.8,+AC0-6.0,19.0,37.4,5.0,19.7,79.6,0
Sex,Female,110595,253.4,144.7,339.5,23.7,31.3,11.0,87.9,143.3,0.0,110595,351.3,53.6,365.0,2.7,10.4,0.0,11.0,51.0,0.0,+AC0-97.9,150.1,+AC0-21.5,21.1,32.8,10.0,76.9,148.5,0
,Male,126035,277.8,131.9,351.0,22.7,33.8,9.0,64.5,127.7,0.0,126035,354.1,48.2,365.0,2.2,10.0,0.0,8.7,45.3,0.0,+AC0-76.3,136.6,+AC0-12.0,20.5,35.1,7.5,55.8,132.3,0
Ethnicity,Asian or Asian British,12160,290.4,121.4,351.5,22.8,33.3,9.5,51.8,117.3,0.0,12160,359.2,35.5,365.0,1.4,7.2,0.0,4.4,33.6,0.0,+AC0-68.8,124.8,+AC0-12.5,21.5,34.0,9.0,47.3,120.5,0
,+ACI-Black, Black British, Caribbean or African+ACI-,6545,287.0,118.7,346.0,30.5,43.4,13.5,47.5,112.1,0.0,6545,359.4,34.6,365.0,1.4,8.3,0.0,4.2,32.2,0.0,+AC0-72.4,121.3,+AC0-17.5,29.1,44.2,13.0,43.4,114.6,0
