feature,r2,r2_best_kfold
stroke_severity_arrival,0.0655712366104126,0.06722033023834229
prior_disability,0.09298232793807984,0.0959939956665039
arrival_to_scan_time_mins,0.10388234853744507,0.10938042402267456
age,0.11436307430267334,0.12120747566223145
onset_to_su_arrival_time_mins,0.12377735376358032,0.1303631067276001
thrombolysis_no_but_haemorrhagic,0.12988117933273316,0.13513189554214478
onset_to_scan_time_mins,0.13390834331512452,0.14043819904327393
region,0.13628910779953002,0.1423289179801941
arrive_by_ambulance,0.13784004449844361,0.14444100856781006
scan_to_thrombolysis_time_mins,0.13984667062759398,0.14666640758514404
arrival_to_thrombectomy_time_mins,0.14067821502685546,0.14801520109176636
tia_last_month,0.1409812331199646,0.15042638778686523
thrombolysis_to_thrombectomy_time_mins,0.14113078117370606,0.14942610263824463
arrival_to_thrombolysis_time_mins,0.14140589237213136,0.14861851930618286
thrombolysis_no_but_age,0.1420966863632202,0.14850598573684692
diabetes,0.14160141944885254,0.15001553297042847
thrombolysis_no_but_toomildsevere,0.1430930972099304,0.15026617050170898
afib_heparin_anticoagulant,0.14258360862731934,0.15093517303466797
male,0.14305658340454103,0.150282084941864
eth5,0.1431660532951355,0.15146571397781372
prior_stroke_tia,0.14462485313415527,0.1530054807662964
thrombolysis_no_but_improving,0.14389184713363648,0.15205705165863037
thrombolysis_no_but_medication,0.1446053385734558,0.15223461389541626
recent_covid,0.14474841356277465,0.15219324827194214
inr_arrival,0.14526550769805907,0.15164250135421753
