feature,r2,r2_best_kfold
stroke_severity_arrival,0.06125643253326416,0.0639987587928772
prior_disability,0.08464196920394898,0.08645719289779663
thrombolysis_no_but_timewindow,0.08533326387405396,0.08757883310317993
stroke_type,0.08533326387405396,0.08757883310317993
onset_in_hospital,0.08533326387405396,0.08757883310317993
thrombolysis_no_but_refusal,0.08470710515975952,0.08760875463485718
thrombolysis_no_but_improving,0.08419479131698608,0.0870201587677002
diabetes,0.0839073657989502,0.08735883235931396
arrive_by_ambulance,0.08342167139053344,0.08659130334854126
thrombolysis_no_but_comorbidity,0.08343386650085449,0.08768397569656372
tia_last_month,0.08289561271667481,0.0878104567527771
thrombolysis_no_but_othermedical,0.0824328064918518,0.0872907042503357
thrombolysis_no_but_age,0.08168708086013794,0.08690106868743896
atrial_fibrillation,0.08117437362670898,0.08746355772018433
thrombolysis_no_but_timeunknownwakeup,0.080752694606781,0.0895071029663086
inr_arrival,0.08088726997375488,0.09074097871780396
afib_doac_anticoagulant,0.08158650398254394,0.08665060997009277
afib_vit_k_anticoagulant,0.08175501823425294,0.0871511697769165
thrombolysis_no_but_haemorrhagic,0.08088737726211548,0.08645272254943848
thrombolysis_to_thrombectomy_time_mins,0.07979662418365478,0.08610451221466064
thrombolysis_no_but_toomildsevere,0.08040423393249511,0.08567488193511963
onset_to_su_arrival_time_mins,0.08037295341491699,0.08531361818313599
age,0.08589996099472046,0.09026288986206055
thrombolysis_no_but_medication,0.08485352993011475,0.09340083599090576
onset_to_thrombectomy_time_mins,0.08723812103271485,0.09334725141525269
