feature,r2,r2_best_kfold
stroke_severity_arrival,0.2246198296546936,0.2322598695755005
age,0.3040760397911072,0.30939173698425293
prior_disability,0.3259176969528198,0.3320111036300659
onset_to_thrombolysis_time_mins,0.3304691672325134,0.336429238319397
arrival_to_thrombectomy_time_mins,0.3326592564582825,0.33793896436691284
eth5,0.33512331247329713,0.34118759632110596
thrombolysis_no_but_improving,0.3377951979637146,0.34437108039855957
thrombolysis_no_but_comorbidity,0.33888461589813235,0.3446696400642395
afib_heparin_anticoagulant,0.33946019411087036,0.3456617593765259
diabetes,0.34093263149261477,0.3460441827774048
male,0.34193986654281616,0.3469858169555664
afib_anticoagulant,0.34302237033843996,0.3506994843482971
atrial_fibrillation,0.3430777668952942,0.347567081451416
thrombolysis_no_but_toomildsevere,0.34350210428237915,0.34844183921813965
thrombolysis_no_but_medication,0.3445123553276062,0.3482311964035034
scan_to_thrombectomy_time_mins,0.34534618854522703,0.3493196368217468
stroke_type,0.34534618854522703,0.3493196368217468
onset_in_hospital,0.34534618854522703,0.3493196368217468
thrombolysis_to_thrombectomy_time_mins,0.34455732107162473,0.35076844692230225
afib_doac_anticoagulant,0.3456224322319031,0.3500961661338806
new_afib_diagnosis,0.3449461817741394,0.34887295961380005
afib_vit_k_anticoagulant,0.3443426012992859,0.3485743999481201
prior_stroke_tia,0.34494436979293824,0.34965038299560547
thrombolysis_no_but_refusal,0.34528360366821287,0.35081928968429565
recent_covid,0.345503032207489,0.35093289613723755
